,person,state,district,vote,name,party,session
296,412680,NH,,Yea,Sen. Margaret “Maggie” Hassan [D],Democrat,3
297,412681,NV,,Yea,Sen. Catherine Cortez Masto [D],Democrat,3
298,412741,AL,,Yea,Sen. Doug Jones [D],Democrat,3
299,412742,MN,,Yea,"Sen. Tina Smith [D, 2018-2020]",Democrat,3
300,300002,TN,,Yea,Sen. Lamar Alexander [R],Republican,4
301,300018,WA,,Yea,"Sen. Maria Cantwell [D, 2001-2024]",Democrat,4
302,300019,DE,,Yea,"Sen. Thomas Carper [D, 2001-2024]",Democrat,4
303,300023,MS,,Yea,"Sen. Thad Cochran [R, 1979-2018]",Republican,4
304,300025,ME,,Yea,Sen. Susan Collins [R],Republican,4
305,300027,TX,,Yea,Sen. John Cornyn [R],Republican,4
306,300030,ID,,Yea,Sen. Michael Crapo [R],Republican,4
307,300038,IL,,Yea,Sen. Richard Durbin [D],Democrat,4
308,300041,WY,,Yea,Sen. Michael Enzi [R],Republican,4
309,300043,CA,,Yea,"Sen. Dianne Feinstein [D, 1992-2024]",Democrat,4
310,300047,SC,,Yea,Sen. Lindsey Graham [R],Republican,4
311,300048,IA,,Yea,Sen. Charles “Chuck” Grassley [R],Republican,4
312,300052,UT,,Yea,"Sen. Orrin Hatch [R, 1977-2018]",Republican,4
313,300055,OK,,Yea,Sen. James “Jim” Inhofe [R],Republican,4
314,300065,VT,,Yea,Sen. Patrick Leahy [D],Democrat,4
315,300071,AZ,,Not Voting,"Sen. John McCain [R, 1987-2018]",Republican,4
316,300072,KY,,Yea,Sen. Mitch McConnell [R],Republican,4
317,300075,AK,,Yea,Sen. Lisa Murkowski [R],Republican,4
318,300076,WA,,Yea,Sen. Patty Murray [D],Democrat,4
319,300078,FL,,Yea,"Sen. Bill Nelson [D, 2001-2018]",Democrat,4
320,300081,RI,,Yea,Sen. John “Jack” Reed [D],Democrat,4
321,300083,KS,,Yea,Sen. Pat Roberts [R],Republican,4
322,300087,NY,,Yea,Sen. Charles “Chuck” Schumer [D],Democrat,4
323,300089,AL,,Yea,Sen. Richard Shelby [R],Republican,4
324,300093,MI,,Yea,"Sen. Debbie Stabenow [D, 2001-2018]",Democrat,4
325,300100,OR,,Yea,Sen. Ron Wyden [D],Democrat,4
326,400013,WI,,Yea,"Sen. Tammy Baldwin [D, 2013-2024]",Democrat,4
327,400034,MO,,Yea,Sen. Roy Blunt [R],Republican,4
328,400040,AR,,Yea,Sen. John Boozman [R],Republican,4
329,400050,OH,,Yea,"Sen. Sherrod Brown [D, 2007-2024]",Democrat,4
330,400054,NC,,Yea,Sen. Richard Burr [R],Republican,4
331,400061,WV,,Yea,Sen. Shelley Capito [R],Republican,4
332,400064,MD,,Yea,"Sen. Benjamin Cardin [D, 2007-2024]",Democrat,4
333,400134,AZ,,Yea,"Sen. Jeff Flake [R, 2013-2018]",Republican,4
334,400194,GA,,Not Voting,Sen. John “Johnny” Isakson [R],Republican,4
335,400253,MA,,Yea,Sen. Edward “Ed” Markey [D],Democrat,4
336,400272,NJ,,Yea,"Sen. Robert “Bob” Menendez [D, 2006-2024]",Democrat,4
337,400284,KS,,Yea,Sen. Jerry Moran [R],Republican,4
338,400325,OH,,Yea,Sen. Robert “Rob” Portman [R],Republican,4
339,400357,VT,,Yea,"Sen. Bernard “Bernie” Sanders [I, 2007-2024]",Independent,4
340,400408,PA,,Yea,Sen. Patrick “Pat” Toomey [R],Republican,4
341,400413,NM,,Yea,Sen. Tom Udall [D],Democrat,4
342,400415,MD,,Yea,Sen. Chris Van Hollen Jr. [D],Democrat,4
343,400432,MS,,Yea,"Sen. Roger Wicker [R, 2007-2024]",Republican,4
344,400546,SD,,Yea,Sen. John Thune [R],Republican,4
345,412194,CT,,Yea,"Sen. Christopher Murphy [D, 2013-2024]",Democrat,4
346,412200,HI,,Nay,"Sen. Mazie Hirono [D, 2013-2024]",Democrat,4
347,412205,IN,,Yea,"Sen. Joe Donnelly [D, 2013-2018]",Democrat,4
348,412218,NV,,Yea,"Sen. Dean Heller [R, 2011-2018]",Republican,4
349,412223,NY,,Yea,"Sen. Kirsten Gillibrand [D, 2009-2024]",Democrat,4
350,412242,MN,,Yea,"Sen. Amy Klobuchar [D, 2007-2018]",Democrat,4
351,412243,MO,,Yea,"Sen. Claire McCaskill [D, 2007-2018]",Democrat,4
